"month","imf_nonfuel"
"1998-01",73.1427943728698
"1998-02",69.8753558548857
"1998-03",76.8508582067421
"1998-04",86.1768728268176
"1998-05",83.1912287796631
"1998-06",74.2834465460893
"1998-07",66.298866625899
"1998-08",65.8278104022287
"1998-09",68.9057219452511
"1998-10",77.386797830342
"1998-11",83.2902359446132
"1998-12",82.8922104471843
"1999-01",84.1147375648788
"1999-02",72.3162348712003
"1999-03",70.9516790462195
"1999-04",77.1918798038503
"1999-05",77.5571382616251
"1999-06",70.4713472620735
"1999-07",67.5903099303231
"1999-08",59.2026119801665
"1999-09",63.2831393923863
"1999-10",73.5881487557715
"1999-11",67.439186537234
"1999-12",67.685765392879
"2000-01",67.182820842614
"2000-02",67.9087258070597
"2000-03",76.1532850175009
"2000-04",84.5549494268206
"2000-05",77.5941888888905
"2000-06",65.5501168825693
"2000-07",62.0492065408596
"2000-08",60.3956801217297
"2000-09",59.2401680037684
"2000-10",61.876410728602
"2000-11",69.1441721614814
"2000-12",76.963379672286
"2001-01",68.7368733675531
"2001-02",61.4131391832079
"2001-03",63.622610620704
"2001-04",70.0434510053083
"2001-05",67.8065569396215
"2001-06",62.0040842164376
"2001-07",59.7118535320708
"2001-08",60.0679923119607
"2001-09",59.4366653500513
"2001-10",67.7791302351698
"2001-11",64.218612448304
"2001-12",63.8600920213866
"2002-01",73.4424674107268
"2002-02",75.9697265738612
"2002-03",93.653761037479
"2002-04",103.701137157348
"2002-05",91.1337894705224
"2002-06",76.4993688447743
"2002-07",76.7854830129487
"2002-08",75.3643514948508
"2002-09",74.2168877504301
"2002-10",87.285254771914
"2002-11",80.894829078397
"2002-12",82.0165350194716
"2003-01",68.1323323574025
"2003-02",74.6797992435866
"2003-03",69.4274659383785
"2003-04",64.0553205201658
"2003-05",65.6696271072346
"2003-06",67.6656531476343
"2003-07",66.6906431701515
"2003-08",67.8957082059345
"2003-09",67.4966215850224
"2003-10",70.7739482574035
"2003-11",70.3907475489953
"2003-12",73.8939453390594
"2004-01",76.3488964315964
"2004-02",76.2449219614861
"2004-03",79.5522291980111
"2004-04",80.6783696877088
"2004-05",84.2086523971546
"2004-06",82.5761460886635
"2004-07",83.8116092148226
"2004-08",85.0677624100041
"2004-09",85.0450750082689
"2004-10",92.2314386380297
"2004-11",88.8735727678632
"2004-12",87.1056893590436
"2005-01",89.754028016886
"2005-02",91.5602460024268
"2005-03",100.017176527221
"2005-04",99.9806610863681
"2005-05",97.046633206081
"2005-06",101.866154773621
"2005-07",104.61337480235
"2005-08",111.498286717043
"2005-09",115.325208921455
"2005-10",114.007843545871
"2005-11",107.266299180089
"2005-12",112.725884721282
"2006-01",114.592295469935
"2006-02",112.289757966068
"2006-03",113.22684371216
"2006-04",123.308971018254
"2006-05",127.439854431979
"2006-06",124.191442851335
"2006-07",129.555416555301
"2006-08",130.523103525132
"2006-09",119.488047228318
"2006-10",117.695514421116
"2006-11",120.561027802687
"2006-12",122.708731974992
"2007-01",117.016273609588
"2007-02",124.039415077073
"2007-03",126.83654063576
"2007-04",134.520030023806
"2007-05",134.716175509798
"2007-06",134.830779725083
"2007-07",137.971542910615
"2007-08",133.370495030123
"2007-09",140.980152898941
"2007-10",149.993732101944
"2007-11",158.978610749877
"2007-12",158.6310346959
"2008-01",164.659813944977
"2008-02",172.367740087123
"2008-03",182.887967742528
"2008-04",190.027779069063
"2008-05",204.69885864967
"2008-06",215.592796012285
"2008-07",217.230473313264
"2008-08",193.240537248172
"2008-09",176.297004556148
"2008-10",142.721184327865
"2008-11",119.045007757859
"2008-12",104.117778222859
"2009-01",106.938659079134
"2009-02",102.714697055642
"2009-03",103.582841014555
"2009-04",105.898323338256
"2009-05",115.42698795942
"2009-06",124.701754981243
"2009-07",118.671381009997
"2009-08",125.390041905955
"2009-09",122.023426224269
"2009-10",130.559193336824
"2009-11",135.091781922019
"2009-12",137.347422872058
"2010-01",142.769582291764
"2010-02",138.674844063867
"2010-03",143.712549607612
"2010-04",150.427545628546
"2010-05",137.976460446685
"2010-06",136.082411956368
"2010-07",137.050853938007
"2010-08",139.735136730198
"2010-09",142.506484830935
"2010-10",149.888269321978
"2010-11",154.191174238039
"2010-12",163.171806658641
"2011-01",168.908947966251
"2011-02",175.284434983153
"2011-03",182.760659248519
"2011-04",192.395467924349
"2011-05",184.626374078856
"2011-06",182.801221245308
"2011-07",185.989008961151
"2011-08",180.627271246731
"2011-09",178.015572225027
"2011-10",173.61314118508
"2011-11",176.57904017664
"2011-12",173.003358326692
"2012-01",176.022110993784
"2012-02",181.795337479439
"2012-03",185.618359517129
"2012-04",182.181853884954
"2012-05",171.575170112149
"2012-06",158.372453290761
"2012-07",164.607248735911
"2012-08",170.865302099847
"2012-09",173.076694904463
"2012-10",170.422703587324
"2012-11",167.863007807664
"2012-12",168.226043202425
"2013-01",171.164740381492
"2013-02",172.48255214966
"2013-03",168.882773628547
"2013-04",165.508171102061
"2013-05",165.241071739961
"2013-06",162.97285032292
"2013-07",164.28229506566
"2013-08",166.426153958953
"2013-09",165.947294685181
"2013-10",163.378488181537
"2013-11",161.255418690519
"2013-12",165.032218060511
"2014-01",163.808146370812
"2014-02",168.138762399383
"2014-03",167.983494277801
"2014-04",169.384866573757
"2014-05",168.188187276275
"2014-06",168.929453409646
"2014-07",165.047534149894
"2014-08",159.376120254713
"2014-09",154.633071776802
"2014-10",146.036089917434
"2014-11",139.48434664794
"2014-12",126.194433363955
"2015-01",114.034752328764
"2015-02",117.195923951497
"2015-03",113.292390937962
"2015-04",114.575165502603
"2015-05",118.124995094791
"2015-06",115.701119250462
"2015-07",109.338025417513
"2015-08",102.333397054495
"2015-09",101.883407742151
"2015-10",102.035346549648
"2015-11",96.0424531728187
"2015-12",90.5361377798518
"2016-01",85.2714583939705
"2016-02",86.988515285711
"2016-03",93.5651823141963
"2016-04",96.9261719636648
"2016-05",100.853685515775
"2016-06",103.505474693423
"2016-07",102.800257250643
"2016-08",103.148731323951
"2016-09",103.174316625064
"2016-10",106.743110866177
"2016-11",105.552559937869
"2016-12",111.470535829556
"2017-01",115.691938169776
"2017-02",116.343935921845
"2017-03",110.822901343203
"2017-04",111.1011147902
"2017-05",108.907097762725
"2017-06",105.672051914516
"2017-07",108.206010568952
"2017-08",111.041893590969
"2017-09",114.086274381146
"2017-10",115.55752118776
"2017-11",120.48371462452
"2017-12",121.993457026485
"2018-01",128.435175128359
"2018-02",126.361109665601
"2018-03",126.096253941266
"2018-04",128.084993912069
"2018-05",132.852490324522
"2018-06",131.641941708832
"2018-07",129.828618897075
"2018-08",127.512680442495
"2018-09",131.713928707523
"2018-10",132.826748560421
"2018-11",121.456029854142
"2018-12",115.894099254588
"2019-01",117.018020446024
"2019-02",118.756642471175
"2019-03",119.372708082516
"2019-04",122.77400891544
"2019-05",119.645171220547
"2019-06",114.855351790709
"2019-07",117.383827457022
"2019-08",112.029926527227
"2019-09",114.069357703835
"2019-10",112.633563904973
"2019-11",116.438187091326
"2019-12",119.292769429656
"2020-01",118.820722860088
"2020-02",110.154757513624
"2020-03",93.1753488705059
"2020-04",85.0533673788307
"2020-05",91.7258127497235
"2020-06",99.8748213082501
"2020-07",102.864493689575
"2020-08",108.670078169488
"2020-09",108.341801551616
"2020-10",111.240988597212
"2020-11",115.210057200098
"2020-12",125.238315028173
"2021-01",136.961600300945
"2021-02",137.974647557227
"2021-03",141.015584834048
"2021-04",145.218636112909
"2021-05",155.185637934089
"2021-06",160.78017558764
"2021-07",164.829959934734
"2021-08",163.188646523378
"2021-09",171.579878600973
"2021-10",191.498414088543
"2021-11",183.104966509018
"2021-12",186.693289095001
"2022-01",192.245259480183
"2022-02",203.49227039215
"2022-03",239.873877114631
"2022-04",228.28768648967
"2022-05",226.329535076783
"2022-06",231.613134501107
"2022-07",229.471588452716
"2022-08",241.934978955093
"2022-09",220.020762676086
"2022-10",191.361972732237
"2022-11",192.038204129798
"2022-12",194.3354800212
"2023-01",182.62368984661
"2023-02",174.580401800422
"2023-03",168.294428517146
"2023-04",170.7543283387
"2023-05",157.143021081882
"2023-06",154.056029483522
"2023-07",157.889840944734
"2023-08",161.276736089396
"2023-09",168.618796307638
"2023-10",167.899928078428
"2023-11",165.109215273189
"2023-12",159.532622393584
"2024-01",159.327607266557
"2024-02",158.63591449549
"2024-03",163.069963804068
"2024-04",170.397343617458
"2024-05",168.676104029823
"2024-06",166.747261625242
"2024-07",166.122982219637
"2024-08",164.153968025565
"2024-09",161.300216354949
"2024-10",166.521415765348
"2024-11",166.231413070613
"2024-12",166.628934931448
"2025-01",172.777314852725
"2025-02",172.019476819601
"2025-03",167.375418807054
"2025-04",162.472446217669
"2025-05",160.709282583504
"2025-06",165.96940672043
"2025-07",165.35012816429
"2025-08",162.934570916737
"2025-09",167.154283448377
"2025-10",167.53989039653
"2025-11",168.291708764512
"2025-12",170.564728316694
"2026-01",179.496919568949
